post_id,type,media_URL,thumbnail_URL,caption,audio_path
3862161608143699052,images,https://www.instagram.com/p/DWZJ4Uejnxs/,,"Size: 1XL
$40.00
.
.
#affordablefashion #seeitloveitbuyit #onlineshopping #explorepage #newpagealert🚨🚨",
3862153419167790255,images,https://www.instagram.com/p/DWZIBJ5jnSv/,,"Tied cutout front dress 
Size: Small 
$45.00
.
.
#affordablefashion #seeitloveitbuyit #onlineshopping #explorepage #newpagealert🚨🚨",
3862150542034629355,images,https://www.instagram.com/p/DWZHXSXDnLr/,,"Dress
Size; XL
$50.00
.
.
#affordablefashion #seeitloveitbuyit #onlineshopping #explorepage #newpagealert🚨🚨",
3862142596361937724,images,https://www.instagram.com/p/DWZFjqYDuM8/,,"Skirt set 
Size: Medium 
$45.00

.
.
#affordablefashion #seeitloveitbuyit #onlineshopping #explorepage #newpagealert🚨🚨",
3849730588022832571,sidecar,https://www.instagram.com/p/DVs_ZK0Dn27/,,"2-piece pants skirt  set 
Size: Small 
$65.00
.
.
#affordablefashion #seeitloveitbuyit #onlineshopping #explorepage #newpagealert🚨🚨",
3849727168926878162,sidecar,https://www.instagram.com/p/DVs-naiDonS/,,"Tie waist, wide leg jumpsuit 
Size: Large 
$70.00

.
.
#affordablefashion #seeitloveitbuyit #onlineshopping #explorepage #newpagealert🚨🚨",
3848399467179839930,images,https://www.instagram.com/p/DVoQuz7DpG6/,,"Happy Women’s Day!  Divine Ladies may you always shine with confidence,
strength, and grace. The world is brighter because of amazing women like you",
3842132704918160765,images,https://www.instagram.com/p/DVR_1awjsV9/,,"Denim shirt 
Size. XL (fit like a large)
$65.00

.
.
#affordablefashion #seeitloveitbuyit #onlineshopping #explorepage #newpagealert🚨🚨",
3842123295777242823,images,https://www.instagram.com/p/DVR9sf0Dj7H/,,"Bodycon spaghetti strap dress
Size: X-Large
$65.00
.
.

#affordablefashion #seeitloveitbuyit #onlineshopping #explorepage #newpagealert🚨🚨",
3842114455870529579,images,https://www.instagram.com/p/DVR7r3AjmAr/,,"Asymmetric hem dress
Size : 1XL
SOLD❌❌
.
.
#affordablefashion #seeitloveitbuyit #onlineshopping #explorepage #newpagealert🚨🚨",
3842109158372323318,images,https://www.instagram.com/p/DVR6exVDq_2/,,"T-Shirt 
Size: Large 
SOLD ❌❌
.
.
#affordablefashion #seeitloveitbuyit #onlineshopping #explorepage #newpagealert🚨🚨",
3842107700700659236,images,https://www.instagram.com/p/DVR6JjxDj4k/,,"T- shirt 
Size : X Large 
$35.00
.
.

#affordablefashion #seeitloveitbuyit #onlineshopping #explorepage #newpagealert🚨🚨",
